External0 00056.wav,虽然我刚说的这些都是药剂学的技巧了，不过据说很久以前的魔女们都很喜欢熬汤的哦。
External0 00057.wav, Yeah. 
External0 00058.wav,比纸还要薄。不对，比虫子的翅膀还要薄，薄得都快透明了。
External0 00059.wav,是的。卡亚队长虽然厉害，但总是把我们折腾得够呛。
External0 00060.wav,好吧？但每个惹我生气的人，我都要给他取个难听的绰号。
External0 00061.wav,嘣。
External0 00062.wav,噢那么答案是。
External0 00063.wav,信任从来不是没有理由的。
External0 00064.wav,收起来吧。
External0 00065.wav,我早该意识到了，对他来说，现在就是从我这里扳回一城的最好时机。
External0 00066.wav,
External0 00067.wav,我经历过痛苦的时光，小时候没膜啦买吃的，只好偷人家树上的果子，讨了几年生活。等到有了自己的船队，还是被趾高气扬的商人们排挤在外，但是这些事当做茶余饭后的笑谈，讲给你听就足够了，我绝不会让你再经历一遍。
External0 00068.wav,小团就团结结的所有仇恨唉呀英雄的力量。
External0 00069.wav,你们先出发吧，不必等我。
External0 00070.wav,嘿挺好，这玩意儿还挺少见的。我自己可不知道上哪采。
External0 00071.wav,
External0 00072.wav,好啊。那。就嗯不不对，肯定是真心在反省的，不要诱惑我。
External0 00073.wav,野兽。
External0 00074.wav,嗯不知道那位宁光大人还要准备多久呢？
External0 00075.wav,嗯
External0 00076.wav,是啊今天听斯坦利先生说了，他的冒险经历太精彩了，听得我心潮澎湃。
External0 00077.wav,别这么看着人家，绝对不行。
External0 00078.wav,好吧好吧。
External0 00079.wav,哈
External0 00080.wav,无非有人求财，有人求医，有人求音乐，而你们就是为了求个公道。
External0 00081.wav,那位同龄者被深渊叫谭的怪物，称为公主殿下。
External0 00082.wav,唱。
External0 00083.wav,我们快把信送进去吧。
External0 00084.wav,刚才和他谈了一下，狼群世界的规则很不可思议啊。
External0 00085.wav,嗯居然想一层身份。
External0 00086.wav,既然对这本书这么感兴趣，不如转借给你。
External0 00087.wav,没错。虽然长得像单片眼镜，但它是一台探测仪。
External0 00088.wav,啊啊我们。
External0 00089.wav,既然来了，还是照例挑一束花吧。
External0 00090.wav,
External0 00091.wav,啊那就拜托你们了。那个戒指真的对我非常重要。
External0 00092.wav,不过真正的鉴别方式还是存在的。真正的内行人还是能鉴别的。
External0 00093.wav,还不是二楼吗？看你们明明很急的样子。
External0 00094.wav,人类也有人类的底蕴。我们走吧。
External0 00095.wav,说什么呢？主要还是想借这个机会证明占星术的实力和地位。
External0 00096.wav,下一次我会安全的完成一场伟大的冒险。
External0 00097.wav,啊好可怜。要不然就等你把书里的内容都忘光了，再回去吧。
External0 00098.wav,嗯
External0 00099.wav,晨曦酒庄的酒，一部分会在天使的馈赠酒馆里直销。
External0 00100.wav,味道闻起来还不错呢。你的手艺还可以吗？真是找对人了。
External0 00101.wav,
External0 00102.wav,走了快跑。
External0 00103.wav,有了神之眼就能变得厉害，又有钱。
External0 00104.wav,嘿真是好运。
External0 00105.wav,
External0 00106.wav,小勇，你如今见证了我立本大起大落，也算看了个教训，你以后要谨记于心哪。
External0 00107.wav,是啊。
External0 00108.wav,千年牢固，重仗不移。
External0 00109.wav,蒙德有很多风车呢，因为蒙德城建在水平面的上方，所以是靠风车把水抽上来的吧，回答正确，忙得四季风吹不断，所以水源的供应也很稳定，而且风车就是所谓看得见的风吧，然后风铃就是听得见的风也算是一种祈求风神忽悠的吉祥物了。原来如此和拍门一样是吉祥物，啊不一样，风车是用木头做的，不能当应激食品，只能用来磨牙。我该接话吗？
External0 00110.wav, Wife。你不会是想背着我偷偷吃什么好东西吧哦。只是休息啊。唉那晚安哦。
External0 00111.wav,如果没有能力，那我心中的那个字可能也就停在纸面上了吧。
External0 00112.wav,在新盟的周围有巨龙出没，你们还是尽快进城比较好。
External0 00113.wav,原来阁下是一位训练有素的战士。
External0 00114.wav,不太行，水果严多了。
External0 00115.wav,是在谈论甘雨正帮忙照看着的小姑娘吗？不用紧张，此时我并无声张的打算，就当那个船长总能做一两件聪明事吧。对了，这瑶瑶进来光顾着吃海产了，你得想办法劝劝干预，叫他为瑶瑶多补充些瓜果蔬菜才对。
External0 00116.wav,那不是自然诞生的恨，而是腐蚀之后的产物。
External0 00117.wav,噢
External0 00118.wav,搞不好里面会有野兽助长或者求求人建立营地呢。
External0 00119.wav,斯坦利不会死，因为我就是因为我就是斯坦利。
External0 00120.wav,呵呵我根本没用什么香膏啊。
External0 00121.wav,哼当然因为我可是天下最好的诗人。
External0 00122.wav,那么我们在璃月港有缘再见吧。热心的旅行者。
External0 00123.wav,我一个人实在是抓不过来，放走了又太可惜了。
External0 00124.wav,啊你来了。已经把飞行指南好好看过了吗？规章制度都熟悉了吧？
External0 00125.wav,该垫一垫了。
External0 00126.wav,这不是荣誉骑士一个人的事，我们都会立刻开始行动。
External0 00127.wav,女士大人会找到你们，把你们吊起来折磨，到那时可不要连累我。
External0 00128.wav,但我不需要相信，因为我知道绝云间的先人是真实存在的。
External0 00129.wav,你你。唉
External0 00130.wav,七星之一的宁光始终对于人重重重防备。或许这就是公子详见往生堂关系办事的原因吧。
External0 00131.wav,是的。我师傅虽然很擅长占星术，但他也只懂占星术，爱丽丝就不一样了，他是精通各种神秘领域的全才。
External0 00132.wav,失礼了。
External0 00133.wav,别别动气，啊啊没办法，这下我们只能付全额了吧。
External0 00134.wav,幻觉。
External0 00135.wav,你们是什么人？怎么混进来的？
External0 00136.wav,哈哈哈哈
External0 00137.wav,趁现在赶快整理一下研究笔记。
External0 00138.wav,弟子就要有弟子的样子，怎么能和师傅邀功呢？
External0 00139.wav,当然不正常。
External0 00140.wav,太不甘心了。
External0 00141.wav,这种起名品味好奇怪哦。
External0 00142.wav,不过这一次我还是可以帮助你。
External0 00143.wav,所以我又怎么会不肯借领导给你们呢？
External0 00144.wav,哈哈那就一起走吧，路上多几个伴来聊天。
External0 00145.wav,我会看着你的。
External0 00146.wav, Willie. 
External0 00147.wav,凯亚嘛。那个男人说的话只能信一半。
External0 00148.wav,嘿
External0 00149.wav,
External0 00150.wav,
External0 00151.wav,是的。
External0 00152.wav,宝物失踪可是大事啊。要不我们帮你找回来吧。
External0 00153.wav,不过他住的地方很难找，要先沿着新侧庄后山的栈道一路爬上去。
External0 00154.wav,虽然对我们来说已经很巨大了，但特瓦林这样的体型是怎么回家的呢？
External0 00155.wav,那么最后再送你一句话吧。
External0 00156.wav,我听说了。
External0 00157.wav,需要我们去当宣传员吗？
External0 00158.wav,原来如此，是雷元素芳菲啊。
External0 00159.wav,
External0 00160.wav,没关系，啦只要不把藏宝地点说出去就好。
External0 00161.wav,或许你没有遇到过这种糟糕的交流体验，将好话坏话说尽了，对方却依然自行其是罢了，尽可能不要让我见到那位北斗船长。
External0 00162.wav,
External0 00163.wav,你先休息吧，我该去做柔软体操了，不要偷看。
External0 00164.wav,不该有人欺骗他，说这座城市背叛了你。
External0 00165.wav,要我说他一定有什么大家都不知道的宝物。
External0 00166.wav,请客。
External0 00167.wav,不坐车就不做，神经病。
External0 00168.wav,实验一定要成功。
External0 00169.wav,嗯我想想吃安心芽是吧？
External0 00170.wav,
External0 00171.wav,有人受伤了。
External0 00172.wav,
External0 00173.wav,
External0 00174.wav,来看看你的功夫能不能得到神的回应吧。
External0 00175.wav,特瓦林。谁啊？
External0 00176.wav,很久没有踏上风的国土了。
External0 00177.wav,火酒壶是不动火一整年里都不会结冰，萌得最好的苹果酒，只能用这座湖里的甜水来酿，湖水真的很好喝，我一秒就能喝掉两大瓶啊。真是惊人。派蒙这样的体型喝这么多水，居然不会像方式来母那样，炸豆漏气满天飞，哈哈抓好喝的饮料都是另一个味。世界真是广大需要花时间去思考的见闻，还有很多。
External0 00178.wav,八重大人究竟是什么职位，连我也不清楚。我猜应该是公司一级了吧。唉和他的合作向来很愉快。你看操办节庆庆典非常劳神费力，营收多半也不好看，但是八重大人操办的产业真的是季风，呀又有收成。
External0 00179.wav,那旅行者我们快点去练琴吧。
External0 00180.wav,哇你这么一说。
External0 00181.wav,回声完毕，我们带回去给你个姐姐吧。
External0 00182.wav,降魔大胜和我们方式一派一案一名，共守璃月，历史已久，我非常尊敬肖上先，但是那位大人居然说，居然说什么驱邪方式亮小立威，不值一提。我我绝对不能苟同。
External0 00183.wav,斯坦利、啊
External0 00184.wav,这样吗？可不能让客人等得太久。
External0 00185.wav,
External0 00186.wav,一个劲的喊着抓凶手，却耽误了送仙点疑。在我看来才是本末倒置。
External0 00187.wav,我在武侠小说里看过，有钱的少爷如果生气了的话，会花钱买人手脚的。
External0 00188.wav,
External0 00189.wav,如今的所有三堰五险先人当年都曾立下守望璃月的契约。
External0 00190.wav,难得清闲。
External0 00191.wav, Hey. 
External0 00192.wav,不过这是怎么回事？
External0 00193.wav,已经进入二元世界了吗？
External0 00194.wav,老鼠。你们是从哪里爬出来的？
External0 00195.wav, Yeah. 
External0 00196.wav,你一直在这里练剑吗？
External0 00197.wav,交给我吧，什么都可以交给我。对了。你要拜托我做什么来着？我还没来得及听。
External0 00198.wav,唉
External0 00199.wav,唉因为最近雷泽哈贝多哥哥好像都很忙。
External0 00200.wav,几位还需要点些什么吗？
External0 00201.wav,呵呵有空再来春香瑶陪陪我吧。
External0 00202.wav,就靠这股风上去吧。
External0 00203.wav,
External0 00204.wav, I. 
External0 00205.wav,而且愚人中那边说不定也会有动作。
External0 00206.wav,这帮贼人确实不小心威，但你们也同样无力之极。
External0 00207.wav,你好。一面之缘的异乡人。
External0 00208.wav,不好意思又把你叫过来。
External0 00209.wav,他住在清澈庄，收藏各种书籍，虽然脾气不太好，但聊到藏书还是很健谈的。
External0 00210.wav,噢那就是想象出来的朋友啦。
External0 00211.wav,嗯这位小姐有什么不方便吗？
External0 00212.wav,哈哈哈嗯
External0 00213.wav,嗯还是先不点单了吧。
External0 00214.wav,而且这里的首位似乎在夜里就会下班了。
External0 00215.wav,唉虎落平阳被犬欺。这日子是过不下去了呀。
External0 00216.wav,说起来我们好像就是过分靠近现场的可疑人士。
External0 00217.wav,在那湖中之城里住着三只6臂巨人，两位守护着神像，一位守护着众神的财宝，这是什么意思啊？
External0 00218.wav,
External0 00219.wav,为什么你要这样称呼他？难道你们很熟吗？
External0 00220.wav,
External0 00221.wav,马上这个世界上就要发生大事了，那时候稀缺的东西，你猜猜会是什么？
External0 00222.wav,嗯噢好吧？那我就稍微谈一段。
External0 00223.wav,嗯如果真是怪鸟，那它的风之翼应该已经坏掉了。
External0 00224.wav,哈哈哈呃总之帮了大忙了，那我先走了。It's what's
External0 00225.wav,卢比卡是命运的家族，如果狼接纳了人，或者人接纳了狼，他们就是驴皮卡。
External0 00226.wav,这里叫做奔狼岭，据说蒙德的人很少涉足这里。
External0 00227.wav,鱼肉没有了的话，就去附近的湖里抓，快点行动吧。
External0 00228.wav,嗯这种只有我被排除在外的感觉。
External0 00229.wav,噢脱了。
External0 00230.wav,这就奇怪了，到底是怎么回事啊？
External0 00231.wav,是的。辛苦了。
External0 00232.wav,
External0 00233.wav,不知道他会不会有幻想朋友呀。
External0 00234.wav,
External0 00235.wav,一定要干净利落。
External0 00236.wav,哇帮帮我他的眼神是认真的。
External0 00237.wav,没有关系。
External0 00238.wav,正义人。
External0 00239.wav,跟西下埋藏着男生时的普通灌木，有时会变异成彭彭古，让种子浮空。
External0 00240.wav,哼这种嗟来之食难道能收买我？下一笔资金你什么时候给？
External0 00241.wav,啊这空气这么新鲜，也是为了照顾我的心情吧。
External0 00242.wav,我们现在就要去做该做的事情了。
External0 00243.wav,不愧是你很可靠的。
External0 00244.wav,
External0 00245.wav,喂小可利千万别被迷惑了。学员法师是坏人哦。
External0 00246.wav,就由我来为他分忧解难吧。
External0 00247.wav,
External0 00248.wav,这么说来按照这个世界的历法，我有3000多岁了，当然日月流转的虚像，对看破3000宇宙因果的我而言，没有意义。小姐这周是骗不过酒保的，没到喝酒的年纪，就是没到喝酒的年纪。
External0 00249.wav,没想到会有姐姐帮忙嘿嘿可怜很安心。
External0 00250.wav,好的。那我这就告诉你房子的位置。
External0 00251.wav,老板我们回来选石头了，麻烦把石头都借给我们烧一下。
External0 00252.wav,惹恼了茂才公，就等于惹恼了余人中。这道理总该明白吧？
External0 00253.wav,孩子啊。
External0 00254.wav,老爹们，这是我对蒙德的老冒险家们的叫法。听说我是他们在非常险恶的绝境中捡到的孤儿，很奇妙对吧？明明我的运气这么差，居然能被人捡到，还活到了现在，简直是奇迹啊。
External0 00255.wav,趁你不在的时候，那些委托已经被我们处理掉了。一个不漏。
External0 00256.wav,速战速决。
External0 00257.wav,哈哈哈稍等一下。
External0 00258.wav,不过请你们放心，我马上就去帮王岭把事情调查清楚。
External0 00259.wav,最近每晚迪卢克老爷都在天使的馈赠带班酒保。
External0 00260.wav,神仙者几路第6卷，我对他心念已久了。
External0 00261.wav,荣誉骑士温迪还有派盟，太好了，你们都在这儿。
External0 00262.wav,哇是荣誉骑士哥哥，还有小胖猫，你们回来了。
External0 00263.wav,准确的说是连续三届蒙德成最受喜爱吟游诗人的蝉联冠军。
External0 00264.wav,你们正在寻访其神，是为了什么呢？
External0 00265.wav,太忙也要听。
External0 00266.wav,希望贵国的外交官能拿出更职业的态度来。
External0 00267.wav,呃
External0 00268.wav,
External0 00269.wav,嗯哼你说鹏鹏吗？
External0 00270.wav,人们都说蒙德是风的国度，可是我还不知道这个季节盛行的风向是哪个方位呢？不如我们去问问问题吧。他对这种问题只会ahead声敷衍过去吧，说的也是风神只是一个卖唱的而已，懂什么风。
External0 00271.wav,很久不和管家之外的人对弈了，难得有这份闲暇跟我下去骑吧。
External0 00272.wav,是啊。我刚在山上祈祷，你们就搭救了我兄弟。
External0 00273.wav,凯利来帮忙。
External0 00274.wav,委托我已经记录在案了。马胜就去安排
External0 00275.wav,有点没理解。
External0 00276.wav,我好像摸到了。
External0 00277.wav,那我就在这里等你的好消息，向着星辰与深渊。
External0 00278.wav,说起来准备派对也很辛苦的吧。大家怎么有时间准备的呢？
External0 00279.wav,好了，我牵线搭桥的任务已经完成了，怎样？这结果还不错吧。
External0 00280.wav,我收集到的研究材料已经很足够了，花更多时间在我的身上会会很浪费的。至少也让我用生物链接做点什么回礼给你。
External0 00281.wav,好，那就出发吧。
External0 00282.wav,你可知道？因为近来蒙德龙栽果物减产，因此蒙德的酒驾全大陆飞涨。
External0 00283.wav,
External0 00284.wav,这是对值得信赖的好市民的特殊福利。
External0 00285.wav,在阁下这么开心的时候来打搅。真是不好意思。
External0 00286.wav,其他手腕都被打倒了吗？
External0 00287.wav,那我们现在赶过去，说不定还能看到材料的现场。
External0 00288.wav,可是岂不如人？嘛
External0 00289.wav,是啊。吃完饭出来走走，陪朋友找点东西。
External0 00290.wav,啊真麻烦。那我耐心一点解释吧。
External0 00291.wav,旅行者。
External0 00292.wav,没错。这是送仙点一右的事物。7只风筝象征七神。
External0 00293.wav,
External0 00294.wav,明晚的约定，不要忘记时间。
External0 00295.wav,啊没什么。刚才有只会撒金币的，大宝又跑过去了。
External0 00296.wav,好神奇啊。
External0 00297.wav,旅行者一起在附近找找吧。
External0 00298.wav,
External0 00299.wav,是的。虽然你之前汇报给秦的委托，已经安排过人去办了。
External0 00300.wav,就和楼下那个路人穿的一样绿呢。
External0 00301.wav,今天竟是如此重要的日子。若早点知道，我便能提前准备礼物了。唉此次让我以善武为例吧。
External0 00302.wav,以后找到了矿石都可以来找我。
External0 00303.wav,你看种在这里的冰雾花，其实每一朵都不一样，这一朵冰元素含量更高，这一朵花期更长。你问那一朵啊那一朵叫三世冰雾花改17号放大板。特点噢就是更大一点。
External0 00304.wav,出城向北，在归梨园之西。有一座石林，他的名字是绝云间。
External0 00305.wav,
External0 00306.wav,怎么办？怎么办？
External0 00307.wav,但是还是会有危险吧。
External0 00308.wav,对了。那位婆婆让我们带句话给你。
External0 00309.wav,你这两本书有拿错的可能性吗？
External0 00310.wav,但是你们也要帮戚戚的忙，这样才公平。
External0 00311.wav,我们的目标只有泪滴结晶，是正面迎敌还是悄悄摸进去，就看你的决定了。
External0 00312.wav,欢迎回来。辛苦了。
External0 00313.wav,嗯我们这就会清泉镇吧。
External0 00314.wav,他有选择自己生活方式的权利。
External0 00315.wav,少年小心别动。
External0 00316.wav,飞行执照，那是什么东西？
External0 00317.wav,呵呵不行的。班尼冒险团早就满员了，合适的人选有那么多，没必要找我这个倒霉蛋吧。
External0 00318.wav,
External0 00319.wav,你好。
External0 00320.wav,虽然说冒险家不能挑食，但其实我不是很能吃辣，比如绝云娇娇什么的，吃了之后就喘不上气，感觉呼吸都是辣的，而且之后肯定会拉肚子。这种恶魔一样的果子究竟是怎么长出来的？
External0 00321.wav,你干嘛？不知道想点什么。
External0 00322.wav,需要提醒你一下，树枝每次使用都会消耗它积攒的一部分元素力。
External0 00323.wav,唉
External0 00324.wav,飞行指南就是这么枯燥无趣了，我也一点都看不下去。哈哈别告诉秦团长我说过这话。
External0 00325.wav,我的意思是天空之琴不是我们的底牌。
External0 00326.wav,有足够食材的话，以后你也可以试着自己做做看。
External0 00327.wav,在万明堂的后面找找吧某师傅是专业的大厨，可能会存一些好水。
External0 00328.wav,最好的理财管刘黎亭。
External0 00329.wav,
External0 00330.wav,虽然不知道你们所谓合适，但看在你们诚心供奉的份上，本心就给你们一个机会。
External0 00331.wav,特瓦林到最后也还记得四风守护的职责。
External0 00332.wav,这是公司给的第一笔垫付资金。如果用完，也可以再去找他报销后续款项。
External0 00333.wav,
External0 00334.wav,记录位置记录位置。
External0 00335.wav,
External0 00336.wav,嗯看来这就只是数字而已。
External0 00337.wav,我又没做什么坏事，为什么要逃跑啊？喂
External0 00338.wav,可别是来找我的。
External0 00339.wav,我我埋在地与森林里的宝物不见了。
External0 00340.wav,嗯嗯
External0 00341.wav,原来如此，真佩服你的激情和毅力。
External0 00342.wav,
External0 00343.wav,唉我总按捺不住尝试新菜的心情，但又不能每次出门都带好锅碗瓢盆什么的。
External0 00344.wav,分享生活小智慧，时间到生活小智慧。在蒙德如果有东西怎么修都修不好，或者怎么洗都洗不干净。遇到这种事，自己又处理不了的话，就可以对着天空大喊一声。No，II嘿所有的烦心事就都会被马上解决了。这就是蒙德人的生活小智慧吗？嗯太棒了，学到许多。
External0 00345.wav,这座港口就和柴火堆一样，只要一点火星，我就要止不住了。
External0 00346.wav,呵呵。我已经拿到了必胜的材料，你们不可能赢的。
External0 00347.wav,将特瓦林改造成战争兵器的计划，也是那位同龄者所谋划的。
External0 00348.wav,啊后来呢。
External0 00349.wav,噢
External0 00350.wav,性妖傩舞。
External0 00351.wav,电闪雷鸣，虽然有点吓人，但李悦港的防雷防火工是是一流的，不用担心。
External0 00352.wav,等一下。我还有最后一个问题。
External0 00353.wav,嘿好朋友听不懂啊。
External1 00001.wav,唉真好啊。英雄们相互托付，携手起承的桥段，总是那么迷人。呐
External1 00002.wav,相邻做菜的手艺有口皆碑，但是他那些辛辣烫口的菜品，我是绝对不会碰的。没有没有什么。你看史莱姆滑膜过，这能吃吗？
External1 00003.wav,好。就用这个宝物来对付你们吗？
External1 00004.wav,心已经恢复意识了，只是身体还稍微有些虚弱。
External1 00005.wav,海风或者高处的风，都可以让诗人的歌声传颂的更远。
External1 00006.wav,好像从哪里飘来了风铃的声音。
External1 00007.wav,嗯
External1 00008.wav,再说了，跟我一起去拿箱子，这件事对你来说是有好处的。
External1 00009.wav,
External1 00010.wav,你就告诉我个数吧，真把所有货都调来了，怕你吃不下。
External1 00011.wav,嗯狄卢克姥爷的理由是信任吧。
External1 00012.wav,他碾碎了包扎，可以止血。
External1 00013.wav,一层。
External1 00014.wav,接下来的测验是在蒙德城，那么我先去城里了，你也快点过来吧。
External1 00015.wav,事到如今已经没有什么可谈的了。
External1 00016.wav,下雪了，要注意占靴的保养啊。
External1 00017.wav,还是想要请我来手把手的教导你呢？Yeah。
External1 00018.wav,代理团长的担保也不是无限的，书记大人已经催了一阵子了。
External1 00019.wav, Oh
External1 00020.wav,呃事到如今再聊这个实在有些不好意思。
External1 00021.wav,东西带来了吗？
External1 00022.wav,不得不说牧歌之城的名酒确实要比虚拟的冷静，蛇酒好喝不少。
External1 00023.wav,啊
External1 00024.wav,谢谢你们谢谢你们。我找到我要的东西了。
External1 00025.wav,根据手机上的情报，似乎宝藏被埋藏在失落的阿卡迪亚遗迹。
External1 00026.wav,
External1 00027.wav,禁止接触。
External1 00028.wav,这是这是你做的吗？你的料理天赋真是吓了我一跳，不做大厨真是太可惜了。
External1 00029.wav,原本我们约好今晚一起讨论冒险计划，能麻烦你转告他改听见吗？
External1 00030.wav,不要打我。
External1 00031.wav,没去城门陪他一起御敌，他好像还在生我的气，请容我先离开一下避避风头吧。
External1 00032.wav,也难怪其每天都有那么多事情要处理。
External1 00033.wav,啊好可惜。
External1 00034.wav,不吉利的话就不说了。总之我也一直很担心阎王爷，担心那个消息是真的。
External1 00035.wav,反正肉也是你想用的食材，我觉得没什么区别吧。
External1 00036.wav,风雅之物我都很喜欢。雅苑诗词奇异于无的你也感兴趣吗？
External1 00037.wav,去清泉镇的瀑布上找找吧。记得带上一位善用冰元素的朋友，我我自己吗？
External1 00038.wav,敌军遇刺之后又如何能将嫌疑推给关里凡民？
External1 00039.wav,是啊燕王帝君之死的传言，可不是小事，这大街小巷里说什么的都有。
External1 00040.wav,嘿嘿这点程度而已，当然不在话下啦。
External1 00041.wav,喂你跟我走吧。
External1 00042.wav,那是你太拘谨了，拿到珍稀的食材，这世界上还会有比这更开心的事吗？
External1 00043.wav,我也要出发了。要赶在霍夫曼回来之前，时间可并不宽裕。
External1 00044.wav,虽然凭现在的我只能接到清除下水道里的史莱姆这种新手委托。
External1 00045.wav,相邻，啊他偶尔也会用一些说不上好滋味的食材，做出一些很是了不得的味道，不过嘛没有尝试就不会有进步，我倒是挺乐意帮他试吃的。
External1 00046.wav,任务的目标是。
External1 00047.wav,我想问问看，不知道你的朋友有时间帮这个忙吗？
External1 00048.wav, Yeah. 
External1 00049.wav, Yeah. 
External1 00050.wav,世界充满未解之谜。
External1 00051.wav,蒲公英，蒲公英当然也是花了。
External1 00052.wav,听赵而来。
External1 00053.wav,唉只惜我，别再闹出什么乱子来。
External1 00054.wav,这一天偷来了呀。
External1 00055.wav,而你又是蒙德的大英雄，身份也配得上我。所以。
External1 00056.wav,
External1 00057.wav,正是因为无法更改，不可为逆，只能接受命运才会被称之为命运。
External1 00058.wav,方是驱邪依靠咒术，二赖武艺，另辟蹊径一可但终非正道。
External1 00059.wav,难道是出现了幻觉，还是说真的有那种看不见的朋友在陪你玩？
External1 00060.wav,如果真的是被人拿走了的话，唐纳就没做错什么哦。
External1 00061.wav,唉好可怕。
External1 00062.wav,区域经台做一天杂活是吧？我没问题。一天25000公平交易。
External1 00063.wav,快快走吧。你的目的都已经达到了吧？
External1 00064.wav,啊不过都是口头约定，暂时还没签契约，买家感觉很精明，一直没有决定下来。
External1 00065.wav,我本来想向秦团长要一些对蒙德的冒险家协会的支援，但其实我不太知道要怎么和他说，冒险家协会没有骑士团那么多规矩，我和老爹们成天也嘻嘻哈哈的，但用这种态度和秦团长说话，肯定不行吧。我是不是要学一下骑士团敬礼的方式。
External1 00066.wav,唉我话说回来，身为七神之一，我自己的心意都还没洗清。
External1 00067.wav,所以现在的我毫无疑问正是气神中最弱的一个。
External1 00068.wav,刚才有一件事你没说吧。
External1 00069.wav,蒙德的酒是他们唯一值得骄傲的东西了。
External1 00070.wav,可我也不能三者来卖这一批石破，呀那样的话我可能再也赎不回我的书了。
External1 00071.wav,我代表骑士团向市民澄清了误会。
External1 00072.wav,你也是西风骑士团的人吗？
External1 00073.wav,火屎来母是椒盐还是做成蒜香的好呢？
External1 00074.wav,是刚才帮我清理丘丘人营地的愁笑。
External1 00075.wav,那边旅行者快看，那个姑娘有危险。
External1 00076.wav,
External1 00077.wav,按照我给你标记好的路线，一路平稳的飞到终点吧。
External1 00078.wav,双喊话说。
External1 00079.wav,杰克今天跟斯坦利先生一起去南方之事的妙语冒险了。
External1 00080.wav,美酒回风，这样的时刻总会让我忍不住想起。
External1 00081.wav,不要在这种地方谈论重要的事。
External1 00082.wav,今天不该出门的。
External1 00083.wav,那就没办法了。保赠的是我会替你们留意的。呃呃不是一届的事。
External1 00084.wav,啊
External1 00085.wav,正是如此，所以若我离开此山，只怕害了无辜性命。
External1 00086.wav,想堆雪人可以陪我吗？
External1 00087.wav,翡玉石井袋做好了吗？
External1 00088.wav,请帮帮我们推广我们的肉产品吧。
External1 00089.wav,虽然根本不想参与你们骑士团的活动。
External1 00090.wav,哈
External1 00091.wav,嗯好无聊，整个人都没有精神了，反正闲着也是闲着，我们来模仿其实团的其他人吧， what会不会很没礼貌？哈哈哈果真不错，连骑士谦卑有礼的品德都掌握了呢？喂这就已经开始了吗？
